(74, '3B2', 'Fly Lappeenranta', '', '', 0, 'TravelFusion2Provider', 'true'),
(75, '3C', 'Regionsair', '', '', 0, 'AmadeusProvider', 'true'),
(76, '3D', 'Denim Air', '', '', 0, 'AmadeusProvider', 'false'),
(77, '3E', 'Multi Aero', '', '', 0, 'AmadeusProvider', 'true'),
(78, '3F', 'Pacific Airways', '', '', 0, 'AmadeusProvider', 'false'),
(79, '3G', 'Atlant-Soyuz Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(80, '3H', 'Air Inuit', '', '', 0, 'AmadeusProvider', 'false'),
(81, '3I', 'Aerolineas Del Sur', '', '', 0, 'AmadeusProvider', 'true'),
(82, '3J', 'Zip Air', '', '', 0, 'AmadeusProvider', 'false'),
(83, '3K', 'Jetstar Asia', '', '', 0, 'AmadeusProvider;TravelFusionProvider', 'true'),
(84, '3L', 'Intersky Luftfahrt', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusionProvider\n', 'true'),
(85, '3M', 'Gulfstream International', '', '', 0, 'AmadeusProvider', 'true'),
(86, '3N', 'Air Urga', '', '', 0, 'AmadeusProvider', 'false'),
(87, '3O', 'Air Arabia Maroc', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'true'),
(88, '3P', 'Tiara Air', '', '', 0, 'AmadeusProvider', 'false'),
(89, '3Q', 'Carib Aviation Limited', '', '', 0, 'AmadeusProvider', 'true'),
(90, '3R', 'Moskovia Airlines Jsc', '', '', 0, 'AmadeusProvider', 'true'),
(91, '3S', 'Air Antilles Express', '', '', 0, 'AmadeusProvider', 'true'),
(92, '3T', 'Turan Air', '', '', 0, 'AmadeusProvider', 'false'),
(93, '3U', 'Sichuan Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(94, '3V', 'TNT Airways', '', '', 0, 'AmadeusProvider', 'false'),
(95, '3W', 'EuroManx', '', '', 0, 'AmadeusProvider', 'true'),
(96, '3X', 'Japan Air Commuter', '', '', 0, 'AmadeusProvider', 'false'),
(97, '3Y', 'Kartika Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(98, '3Z', 'Everts Air', '', '', 0, 'AmadeusProvider', 'false'),
(99, '4A', 'Aviana Airways', '', '', 0, 'AmadeusProvider', 'false'),
(100, '4B', 'Boutique Air', '', '', 0, 'AmadeusProvider', 'true'),
(101, '4C', 'Aires', '', '', 0, 'AmadeusProvider', 'false'),
(102, '4D', 'Air Sinai', '', '', 0, 'AmadeusProvider', 'true'),
(103, '4E', 'Tanana Air Service', '', '', 0, 'AmadeusProvider', 'false'),
(104, '4F', 'Air City', '', '', 0, 'AmadeusProvider', 'false'),
